                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.56386,                0.45014,                0.70875,                0.95384,                0.92809,                0.93103,                0.91158,                0.83118,                0.92809,                0.93103,                0.91174,                0.88654,                0.46459,                0.59959,                0.72985,                0.86215,               0.001241,               0.001241,               0.001241
                     26,                0.56807,                0.47325,                0.71574,                0.94361,                0.89701,                0.93103,                0.91465,                0.84851,                0.89701,                0.93103,                0.91465,                0.87785,                0.47727,                0.63679,                0.81096,                0.86916,               0.001208,               0.001208,               0.001208
                     27,                0.50075,                0.37353,                0.62184,                0.93111,                0.92857,                0.93103,                0.93124,                0.88392,                0.92857,                0.93103,                0.93124,                0.91422,                0.39013,                0.58844,                0.63691,                0.80279,               0.001175,               0.001175,               0.001175
                     28,                0.52765,                0.44641,                0.61318,                0.94432,                0.92849,                0.93103,                0.92271,                0.84451,                0.92849,                0.93103,                0.92271,                 0.8899,                0.47178,                0.67317,                0.68546,                0.84762,               0.001142,               0.001142,               0.001142
                     29,                0.56063,                0.45737,                0.69315,                0.96513,                0.92879,                0.93103,                0.91719,                0.86287,                0.92879,                0.93103,                0.91719,                0.89402,                0.43007,                0.52755,                 0.6672,                0.83886,               0.001109,               0.001109,               0.001109
                     30,                0.52973,                0.39018,                0.59722,                0.92464,                0.92873,                0.93103,                0.91853,                0.87542,                0.92873,                0.93103,                0.91853,                0.90451,                0.42346,                0.48509,                0.62927,                0.84133,               0.001076,               0.001076,               0.001076
                     31,                0.51164,                0.43717,                0.60354,                0.94307,                0.92885,                0.93103,                0.91431,                0.87472,                0.92885,                0.93103,                0.91414,                0.89324,                0.42647,                0.51303,                0.65182,                0.83993,               0.001043,               0.001043,               0.001043
                     32,                0.51579,                0.40468,                0.58089,                0.93583,                0.92733,                0.93103,                0.91446,                0.88554,                0.92733,                0.93103,                0.91432,                0.90318,                0.37788,                0.52812,                0.63913,                0.79695,                0.00101,                0.00101,                0.00101
                     33,                0.48151,                0.39049,                0.56811,                0.91999,                0.92878,                0.93103,                0.92042,                0.88327,                0.92878,                0.93103,                0.92031,                 0.9089,                0.35469,                0.55693,                0.62089,                 0.7845,               0.000977,               0.000977,               0.000977
                     34,                0.49154,                0.37133,                0.59782,                0.92733,                0.92888,                0.93103,                0.92189,                0.88646,                0.92888,                0.93103,                0.92167,                0.89707,                0.35072,                0.56471,                0.63478,                0.78774,               0.000944,               0.000944,               0.000944
                     35,                0.49349,                0.45278,                0.57386,                0.93372,                0.92854,                0.93103,                0.92222,                0.89371,                0.92854,                0.93103,                0.92183,                0.90968,                0.32374,                0.54234,                0.54488,                0.77766,               0.000911,               0.000911,               0.000911
                     36,                0.43917,                0.39459,                0.51673,                0.92273,                0.92763,                0.93103,                0.92376,                0.87894,                0.92763,                0.93103,                0.92338,                0.91374,                0.34467,                0.53215,                0.50328,                0.77721,               0.000878,               0.000878,               0.000878
                     37,                0.46348,                0.48063,                0.61451,                0.90005,                0.99097,                0.89655,                0.93551,                 0.9113,                0.99097,                0.89655,                0.93551,                0.91641,                0.31627,                0.58222,                0.54104,                0.76774,               0.000845,               0.000845,               0.000845
                     38,                0.39038,                0.38101,                0.53847,                0.89332,                 0.9304,                0.93103,                0.93826,                0.92057,                 0.9304,                0.93103,                0.93813,                0.93132,                0.28864,                0.59543,                0.50048,                0.74562,               0.000812,               0.000812,               0.000812
                     39,                0.43591,                0.42372,                0.53107,                0.89482,                0.92957,                0.93103,                0.93803,                0.91733,                0.92957,                0.93103,                0.93802,                0.93122,                0.31512,                0.58277,                0.50228,                0.76215,               0.000779,               0.000779,               0.000779
                     40,                0.42987,                  0.402,                0.52362,                0.89983,                0.92903,                0.93103,                0.92779,                0.91683,                0.92903,                0.93103,                0.92779,                0.92207,                0.31417,                0.55742,                0.48734,                0.76438,               0.000746,               0.000746,               0.000746
                     41,                 0.4482,                 0.3798,                0.53577,                0.92485,                0.92887,                0.93103,                0.92991,                0.90867,                0.92887,                0.93103,                0.92991,                0.92472,                0.32247,                0.52933,                0.50733,                0.77331,               0.000713,               0.000713,               0.000713
                     42,                0.43414,                0.37409,                0.53869,                0.91658,                0.93027,                0.93103,                 0.9332,                0.91687,                0.93027,                0.93103,                 0.9332,                0.92194,                 0.3214,                0.57947,                0.50847,                0.77617,                0.00068,                0.00068,                0.00068
                     43,                0.41259,                0.37621,                 0.4842,                 0.9032,                0.93061,                0.93103,                0.93297,                0.90924,                0.93061,                0.93103,                0.93286,                0.92346,                0.30154,                0.62701,                0.48843,                0.76723,               0.000647,               0.000647,               0.000647
                     44,                0.38852,                0.34489,                0.44468,                0.89542,                0.93088,                0.93103,                0.93387,                0.90946,                0.93088,                0.93103,                0.93387,                0.92423,                0.31962,                0.62242,                0.47511,                 0.7782,               0.000614,               0.000614,               0.000614
                     45,                 0.4078,                0.38387,                0.47301,                0.89547,                0.92862,                0.93103,                0.93281,                0.90611,                0.92862,                0.93103,                0.93281,                0.92278,                0.30946,                0.60408,                0.42349,                0.75987,               0.000581,               0.000581,               0.000581
                     46,                0.39808,                0.38252,                0.43231,                0.89393,                0.94568,                0.93103,                0.93315,                0.89769,                0.94568,                0.93103,                0.93315,                0.92839,                0.31068,                0.55241,                0.45024,                0.76573,               0.000548,               0.000548,               0.000548
                     47,                0.37962,                  0.321,                0.45993,                 0.8958,                 0.9632,                0.93103,                0.93176,                0.89589,                 0.9632,                0.93103,                0.93176,                0.92671,                0.30578,                0.53387,                0.44573,                0.77098,               0.000515,               0.000515,               0.000515
                     48,                0.38411,                0.30788,                 0.4455,                 0.8828,                0.94809,                0.93103,                0.93146,                0.91167,                0.94809,                0.93103,                0.93146,                0.92609,                0.33139,                0.50458,                0.42902,                0.78342,               0.000482,               0.000482,               0.000482
                     49,                0.40083,                0.37249,                0.51129,                0.89168,                0.93743,                0.93103,                0.93433,                0.91195,                0.93743,                0.93103,                0.93433,                0.92829,                0.34537,                0.48612,                0.41466,                0.78516,               0.000449,               0.000449,               0.000449
                     50,                0.34408,                0.31032,                0.42409,                0.86942,                0.96056,                0.93103,                0.93651,                0.91542,                0.96056,                0.93103,                0.93677,                0.93086,                0.31732,                0.47688,                0.40901,                0.76794,               0.000416,               0.000416,               0.000416
                     51,                0.28799,                 0.2712,                0.52756,                0.86339,                 0.9887,                0.93103,                 0.9367,                0.90479,                 0.9887,                0.93103,                 0.9367,                0.93125,                0.30578,                0.46395,                0.41221,                0.76123,               0.000383,               0.000383,               0.000383
                     52,                0.28393,                 0.2826,                0.44131,                0.86072,                      1,                0.92554,                0.93691,                0.90691,                      1,                0.92554,                0.93691,                0.93148,                0.31031,                0.43518,                 0.4727,                 0.7721,                0.00035,                0.00035,                0.00035
                     53,                0.26348,                0.27086,                0.42844,                0.83903,                0.99085,                0.93103,                0.93749,                0.92602,                0.99085,                0.93103,                0.93749,                 0.9307,                0.29152,                0.44091,                0.48823,                0.76303,               0.000317,               0.000317,               0.000317
                     54,                0.27211,                0.29137,                0.45878,                0.84595,                0.99198,                0.93103,                0.93924,                 0.9198,                0.99198,                0.93103,                0.93924,                0.93046,                0.29746,                0.45608,                 0.4184,                0.76317,               0.000284,               0.000284,               0.000284
                     55,                0.26305,                0.25544,                0.44921,                0.83642,                0.98857,                0.93103,                 0.9417,                0.90282,                0.98857,                0.93103,                 0.9417,                0.93188,                 0.3196,                0.47376,                0.40362,                0.76211,               0.000251,               0.000251,               0.000251
                     56,                0.25783,                0.26503,                0.40618,                0.84517,                0.98334,                0.93103,                0.94515,                0.90803,                0.98334,                0.93103,                0.94515,                0.93384,                0.27196,                0.49024,                0.37629,                0.74375,               0.000218,               0.000218,               0.000218
                     57,                0.23749,                0.28377,                0.41559,                0.83449,                0.98759,                0.93103,                0.94723,                0.91496,                0.98759,                0.93103,                0.94723,                0.93294,                0.29199,                0.50136,                0.39848,                0.75583,               0.000185,               0.000185,               0.000185
                     58,                0.24864,                 0.2417,                0.39248,                0.83782,                0.98915,                0.93103,                0.94773,                0.93254,                0.98915,                0.93103,                0.94773,                0.93247,                0.27856,                0.50381,                0.38288,                0.75768,               0.000152,               0.000152,               0.000152
                     59,                0.23369,                 0.2273,                0.35498,                0.83374,                0.99263,                0.93103,                0.94829,                0.92592,                0.99263,                0.93103,                0.94829,                0.93257,                0.26182,                0.50999,                0.35788,                0.75091,               0.000119,               0.000119,               0.000119
                     60,                0.23463,                0.25333,                0.36377,                0.81459,                0.99382,                0.93103,                0.94829,                0.93261,                0.99382,                0.93103,                0.94829,                 0.9295,                0.25763,                0.51622,                0.34013,                0.74837,                8.6e-05,                8.6e-05,                8.6e-05
