FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
15.0,4.0,15.0,15.0,2.0,0.03138075313807531,36.0,42.0,0.26666666666666666,1.0460251046025104,0.14160481770833333,2024-04-05_09_41_27_(10532)_sardine_input_(1).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.03138075313807531,36.0,40.0,0.2,1.0313152400835073,0.13362630208333334,2024-04-05_09_41_27_(10532)_sardine_input_(2).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.03138075313807531,35.0,44.0,0.2,1.033402922755741,0.1474072265625,2024-04-05_09_41_42_(10533)_sardine_input_(0).png,yes,yes
14.0,3.0,14.0,15.0,2.0,0.03138075313807531,34.0,32.0,0.21428571428571427,1.0238611713665944,0.10742024739583333,2024-04-05_09_41_42_(10533)_sardine_input_(1).png,yes,yes
15.0,6.0,16.0,15.0,2.0,0.03138075313807531,38.0,48.0,0.4,1.0920502092050208,0.16140787760416667,2024-04-05_09_41_42_(10533)_sardine_input_(2).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.031315240083507306,36.0,43.0,0.2,1.0292275574112735,0.14547526041666667,2024-04-05_09_41_59_(10534)_sardine_input_(0).png,yes,yes
14.0,3.0,14.0,15.0,2.0,0.031315240083507306,33.0,33.0,0.21428571428571427,1.0286975717439293,0.11185872395833334,2024-04-05_09_41_59_(10534)_sardine_input_(1).png,yes,yes
14.0,3.0,14.0,15.0,2.0,0.031315240083507306,32.0,36.0,0.21428571428571427,1.0309734513274336,0.120947265625,2024-04-05_09_41_59_(10534)_sardine_input_(2).png,yes,yes
15.0,4.0,15.0,15.0,2.0,0.03138075313807531,35.0,45.0,0.26666666666666666,1.033402922755741,0.15053548177083334,2024-04-05_09_42_26_(10535)_sardine_input_(0).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.03138075313807531,34.0,37.0,0.21428571428571427,1.0300429184549356,0.123466796875,2024-04-05_09_42_26_(10535)_sardine_input_(1).png,yes,yes
15.0,4.0,15.0,15.0,2.0,0.03138075313807531,35.0,48.0,0.26666666666666666,1.0417536534446765,0.16111979166666668,2024-04-05_09_42_26_(10535)_sardine_input_(2).png,yes,yes
14.0,4.0,15.0,15.0,1.0,0.031982942430703626,35.0,44.0,0.2857142857142857,1.049462365591398,0.1420556640625,2024-04-05_09_42_41_(10536)_sardine_input_(0).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.031982942430703626,34.0,38.0,0.2,1.0250521920668059,0.12391276041666667,2024-04-05_09_42_41_(10536)_sardine_input_(1).png,yes,yes
13.0,2.0,14.0,15.0,1.0,0.031982942430703626,33.0,27.0,0.15384615384615385,1.0206896551724138,0.08822428385416667,2024-04-05_09_42_41_(10536)_sardine_input_(2).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.031512605042016806,35.0,43.0,0.2,1.0313152400835073,0.14096354166666666,2024-04-05_09_42_56_(10537)_sardine_input_(0).png,yes,yes
14.0,2.0,14.0,15.0,1.0,0.031512605042016806,35.0,31.0,0.14285714285714285,1.019438444924406,0.10235026041666667,2024-04-05_09_42_56_(10537)_sardine_input_(1).png,yes,yes
15.0,4.0,15.0,15.0,1.0,0.031512605042016806,38.0,40.0,0.26666666666666666,1.0459290187891441,0.13225748697916667,2024-04-05_09_42_56_(10537)_sardine_input_(2).png,yes,yes
15.0,4.0,16.0,15.0,1.0,0.03546099290780142,36.0,42.0,0.26666666666666666,1.0428893905191874,0.1105322265625,2024-04-05_09_43_16_(10538)_sardine_input_(0).png,yes,yes
14.0,3.0,14.0,15.0,1.0,0.03546099290780142,37.0,26.0,0.21428571428571427,1.0294117647058822,0.06965657552083333,2024-04-05_09_43_16_(10538)_sardine_input_(1).png,yes,yes
15.0,4.0,15.0,15.0,1.0,0.03546099290780142,37.0,36.0,0.26666666666666666,1.0344036697247707,0.0941796875,2024-04-05_09_43_16_(10538)_sardine_input_(2).png,yes,yes
15.0,4.0,15.0,15.0,1.0,0.03138075313807531,38.0,27.0,0.26666666666666666,1.0396659707724425,0.09163899739583334,2024-04-05_09_43_32_(10539)_sardine_input_(0).png,yes,yes
13.0,3.0,13.0,15.0,1.0,0.03138075313807531,31.0,30.0,0.23076923076923078,1.0282352941176471,0.102080078125,2024-04-05_09_43_32_(10539)_sardine_input_(1).png,yes,yes
14.0,3.0,15.0,15.0,1.0,0.03138075313807531,34.0,32.0,0.21428571428571427,1.018987341772152,0.10768880208333333,2024-04-05_09_43_32_(10539)_sardine_input_(2).png,yes,yes
16.0,3.0,16.0,15.0,2.0,0.034403669724770644,38.0,44.0,0.1875,1.0273109243697478,0.122197265625,2024-04-05_09_43_47_(10540)_sardine_input_(0).png,yes,yes
13.0,3.0,13.0,15.0,2.0,0.034403669724770644,32.0,26.0,0.23076923076923078,1.028205128205128,0.07175618489583334,2024-04-05_09_43_47_(10540)_sardine_input_(1).png,yes,yes
14.0,4.0,14.0,15.0,2.0,0.034403669724770644,35.0,30.0,0.2857142857142857,1.040767386091127,0.08441080729166667,2024-04-05_09_43_47_(10540)_sardine_input_(2).png,yes,yes
14.0,4.0,15.0,15.0,2.0,0.031315240083507306,36.0,50.0,0.2857142857142857,1.0481171548117154,0.16830729166666666,2024-04-05_09_44_03_(10541)_sardine_input_(0).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.031315240083507306,35.0,35.0,0.21428571428571427,1.0251046025104602,0.119306640625,2024-04-05_09_44_03_(10541)_sardine_input_(1).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.031315240083507306,36.0,35.0,0.21428571428571427,1.0292887029288702,0.11621256510416667,2024-04-05_09_44_03_(10541)_sardine_input_(2).png,yes,yes
14.0,4.0,14.0,15.0,2.0,0.031446540880503145,35.0,31.0,0.2857142857142857,1.0484581497797356,0.10240234375,2024-04-05_09_44_23_(10542)_sardine_input_(0).png,yes,yes
14.0,3.0,14.0,15.0,2.0,0.031446540880503145,32.0,34.0,0.21428571428571427,1.0264900662251655,0.1125,2024-04-05_09_44_23_(10542)_sardine_input_(1).png,yes,yes
15.0,5.0,15.0,15.0,2.0,0.031446540880503145,37.0,41.0,0.3333333333333333,1.0563674321503131,0.1378271484375,2024-04-05_09_44_23_(10542)_sardine_input_(2).png,yes,yes
