SegmentedFilename,FishDetected,ScaleDetected,FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio
2024-05-23_10_24_01_(13043)_sardine_input_(0).png,yes,yes,14.0,4.0,15.0,15.0,2.0,0.0436046511627907,34.0,35.0,0.2857142857142857,1.0424242424242425,0.06107096354166667
2024-05-23_10_24_01_(13043)_sardine_input_(1).png,yes,yes,20.0,4.0,20.0,15.0,2.0,0.0436046511627907,46.0,69.0,0.2,1.025974025974026,0.11863444010416667
2024-05-23_10_24_01_(13043)_sardine_input_(2).png,yes,yes,16.0,3.0,17.0,15.0,2.0,0.0436046511627907,40.0,45.0,0.1875,1.0206185567010309,0.077353515625
2024-05-23_10_24_13_(13044)_sardine_input_(0).png,yes,yes,14.0,3.0,15.0,15.0,1.0,0.036855036855036855,34.0,36.0,0.21428571428571427,1.0297766749379653,0.088369140625
2024-05-23_10_24_13_(13044)_sardine_input_(1).png,yes,yes,15.0,3.0,16.0,15.0,1.0,0.036855036855036855,35.0,44.0,0.2,1.0283687943262412,0.10571940104166666
2024-05-23_10_24_13_(13044)_sardine_input_(2).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.036855036855036855,35.0,38.0,0.2,1.0216867469879518,0.09156087239583334
2024-05-23_10_24_27_(13045)_sardine_input_(0).png,yes,yes,14.0,3.0,15.0,15.0,1.0,0.03424657534246575,34.0,43.0,0.21428571428571427,1.0276497695852536,0.120380859375
2024-05-23_10_24_27_(13045)_sardine_input_(1).png,yes,yes,15.0,4.0,16.0,15.0,1.0,0.03424657534246575,36.0,51.0,0.26666666666666666,1.0346320346320346,0.1419287109375
2024-05-23_10_24_27_(13045)_sardine_input_(2).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.03424657534246575,35.0,34.0,0.2,1.020316027088036,0.0944091796875
2024-05-23_10_24_40_(13046)_sardine_input_(0).png,yes,yes,14.0,3.0,15.0,15.0,1.0,0.035046728971962614,34.0,30.0,0.21428571428571427,1.0235294117647058,0.08068359375
2024-05-23_10_24_40_(13046)_sardine_input_(1).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.035046728971962614,36.0,42.0,0.2,1.0272727272727273,0.1131005859375
2024-05-23_10_24_40_(13046)_sardine_input_(2).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.035046728971962614,34.0,38.0,0.2,1.0255813953488373,0.101806640625
2024-05-23_10_24_52_(13047)_sardine_input_(0).png,yes,yes,18.0,5.0,19.0,15.0,2.0,0.04120879120879121,44.0,59.0,0.2777777777777778,1.039387308533917,0.114921875
2024-05-23_10_24_52_(13047)_sardine_input_(1).png,yes,yes,18.0,4.0,18.0,15.0,2.0,0.04120879120879121,41.0,54.0,0.2222222222222222,1.0272727272727273,0.10354654947916667
2024-05-23_10_24_52_(13047)_sardine_input_(2).png,yes,yes,17.0,5.0,18.0,15.0,2.0,0.04120879120879121,45.0,48.0,0.29411764705882354,1.0436781609195402,0.09304850260416667
2024-05-23_10_25_06_(13048)_sardine_input_(0).png,yes,yes,18.0,4.0,18.0,15.0,2.0,0.040214477211796246,41.0,64.0,0.2222222222222222,1.0355555555555556,0.1304150390625
2024-05-23_10_25_06_(13048)_sardine_input_(1).png,yes,yes,16.0,4.0,16.0,15.0,2.0,0.040214477211796246,37.0,41.0,0.25,1.037313432835821,0.08282552083333333
2024-05-23_10_25_06_(13048)_sardine_input_(2).png,yes,yes,16.0,4.0,16.0,15.0,2.0,0.040214477211796246,38.0,46.0,0.25,1.0369458128078817,0.09450358072916666
2024-05-23_10_25_14_(13049)_sardine_input_(0).png,yes,yes,15.0,4.0,16.0,15.0,1.0,0.03926701570680628,36.0,40.0,0.26666666666666666,1.0321782178217822,0.08512858072916667
2024-05-23_10_25_14_(13049)_sardine_input_(1).png,yes,yes,16.0,4.0,16.0,15.0,1.0,0.03926701570680628,37.0,49.0,0.25,1.0314769975786926,0.103759765625
2024-05-23_10_25_14_(13049)_sardine_input_(2).png,yes,yes,16.0,3.0,17.0,15.0,1.0,0.03926701570680628,40.0,40.0,0.1875,1.0188235294117647,0.08534830729166666
2024-05-23_10_25_14_(13049)_sardine_input_(3).png,yes,yes,4.0,1.0,4.0,15.0,1.0,0.03926701570680628,7.0,1.0,0.25,1.0545454545454545,0.003116861979166667
2024-05-23_10_25_27_(13050)_sardine_input_(0).png,yes,yes,15.0,3.0,16.0,15.0,1.0,0.03722084367245657,36.0,44.0,0.2,1.026252983293556,0.103486328125
2024-05-23_10_25_27_(13050)_sardine_input_(1).png,yes,yes,15.0,3.0,16.0,15.0,1.0,0.03722084367245657,36.0,46.0,0.2,1.0282352941176471,0.10863118489583333
2024-05-23_10_25_27_(13050)_sardine_input_(2).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.03722084367245657,35.0,35.0,0.2,1.0218978102189782,0.08259928385416666
2024-05-23_10_25_43_(13051)_sardine_input_(0).png,yes,yes,17.0,4.0,17.0,15.0,1.0,0.0379746835443038,39.0,51.0,0.23529411764705882,1.0285714285714285,0.1154052734375
2024-05-23_10_25_43_(13051)_sardine_input_(1).png,yes,yes,18.0,4.0,18.0,15.0,1.0,0.0379746835443038,45.0,49.0,0.2222222222222222,1.025,0.11072265625
2024-05-23_10_25_43_(13051)_sardine_input_(2).png,yes,yes,13.0,2.0,13.0,15.0,1.0,0.0379746835443038,32.0,24.0,0.15384615384615385,1.0169014084507042,0.056139322916666665
2024-05-23_10_25_52_(13052)_sardine_input_(0).png,yes,yes,16.0,4.0,17.0,15.0,1.0,0.038860103626943004,39.0,51.0,0.25,1.032036613272311,0.11172526041666667
