FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
18,4,18,15,3,0.008192244675040962,44,48,0.2222222222222222,1.0249320036264733,0.10004493055555555,20250123102614893_sardine_good_(0).png,yes,yes
18,4,19,15,3,0.008192244675040962,46,50,0.2222222222222222,1.0232558139534884,0.10391875,20250123102614893_sardine_good_(1).png,yes,yes
19,4,20,15,3,0.007537688442211055,48,49,0.21052631578947367,1.0310197751066306,0.12206673611111112,20250123102624873_sardine_good_(0).png,yes,yes
19,4,19,15,3,0.007537688442211055,48,46,0.21052631578947367,1.0216535433070866,0.114856875,20250123102624873_sardine_good_(1).png,yes,yes
18,5,18,15,2,0.006950880444856348,44,47,0.2777777777777778,1.0419392073874567,0.13646090277777778,20250123102658811_sardine_good_(0).png,yes,yes
17,4,18,15,2,0.006950880444856348,44,47,0.23529411764705882,1.028393621159082,0.13597,20250123102658811_sardine_good_(1).png,yes,yes
18,4,18,15,3,0.007684426229508197,47,45,0.2222222222222222,1.0231788079470199,0.10700194444444444,20250123102710243_sardine_good_(0).png,yes,yes
20,5,20,15,3,0.007684426229508197,51,55,0.25,1.0352490421455938,0.12984229166666666,20250123102710243_sardine_good_(1).png,yes,yes
18,4,19,15,3,0.00741839762611276,45,49,0.2222222222222222,1.024015748031496,0.12541256944444445,20250123102741433_sardine_good_(0).png,yes,yes
17,3,17,15,3,0.00741839762611276,43,44,0.17647058823529413,1.019881556683587,0.11332388888888889,20250123102741433_sardine_good_(1).png,yes,yes
18,5,19,15,2,0.007425742574257425,47,45,0.2777777777777778,1.03662859393462,0.11479777777777778,20250123102752587_sardine_good_(0).png,yes,yes
19,4,19,15,2,0.007425742574257425,47,55,0.21052631578947367,1.0241935483870968,0.138768125,20250123102752587_sardine_good_(1).png,yes,yes
19,6,20,15,3,0.007331378299120235,49,50,0.3157894736842105,1.0487160120845922,0.1310786111111111,20250123102808146_sardine_good_(0).png,yes,yes
18,3,18,15,3,0.007331378299120235,41,47,0.16666666666666666,1.0220352564102564,0.12373527777777778,20250123102808146_sardine_good_(1).png,yes,yes
16,5,17,15,2,0.008029978586723769,40,41,0.3125,1.0583732057416269,0.08916847222222223,20250123102901484_sardine_good_(0).png,yes,yes
18,4,18,15,2,0.008029978586723769,45,42,0.2222222222222222,1.0235191637630663,0.09145076388888888,20250123102901484_sardine_good_(1).png,yes,yes
19,5,19,15,1,0.006705409029950827,48,47,0.2631578947368421,1.0394783221713078,0.14746625,20250123102913250_sardine_good_(0).png,yes,yes
19,4,19,15,1,0.006705409029950827,46,48,0.21052631578947367,1.024584487534626,0.14930194444444445,20250123102913250_sardine_good_(1).png,yes,yes
20,5,20,15,2,0.0070389488503050214,48,50,0.25,1.0316122233930454,0.1411529861111111,20250123102924514_sardine_good_(0).png,yes,yes
19,4,20,15,2,0.0070389488503050214,48,52,0.21052631578947367,1.0230905861456483,0.1465042361111111,20250123102924514_sardine_good_(1).png,yes,yes
18,5,19,15,2,0.007458975634012929,46,48,0.2777777777777778,1.0390686661404893,0.12202409722222222,20250123102940897_sardine_good_(0).png,yes,yes
18,5,18,15,2,0.007458975634012929,45,46,0.2777777777777778,1.0375356997144023,0.11558826388888889,20250123102940897_sardine_good_(1).png,yes,yes
20,4,21,15,2,0.007022471910112359,52,56,0.2,1.0231776956667786,0.15820666666666666,20250123103229797_sardine_good_(0).png,yes,yes
19,4,20,15,2,0.007022471910112359,50,50,0.21052631578947367,1.0221596904678156,0.14154777777777777,20250123103229797_sardine_good_(1).png,yes,yes
18,3,18,15,2,0.006657789613848202,45,40,0.16666666666666666,1.0176512968299711,0.12719854166666666,20250123103246144_sardine_good_(0).png,yes,yes
19,5,20,15,2,0.006657789613848202,49,47,0.2631578947368421,1.0320729237002026,0.14902791666666668,20250123103246144_sardine_good_(1).png,yes,yes
18,3,18,15,2,0.006657789613848202,44,49,0.16666666666666666,1.0211925287356323,0.15397506944444445,20250123103256106_sardine_good_(0).png,yes,yes
16,3,16,15,2,0.006657789613848202,40,40,0.1875,1.0247464503042596,0.12619805555555555,20250123103256106_sardine_good_(1).png,yes,yes
18,3,18,15,2,0.007204610951008645,44,48,0.16666666666666666,1.0222135619641466,0.12916840277777777,20250123103305701_sardine_good_(0).png,yes,yes
18,3,19,15,2,0.007204610951008645,46,51,0.16666666666666666,1.0213985479556744,0.1371170138888889,20250123103305701_sardine_good_(1).png,yes,yes
17,5,18,15,2,0.007052186177715092,46,49,0.29411764705882354,1.041782729805014,0.1393442361111111,20250123103316057_sardine_good_(0).png,yes,yes
17,3,17,15,2,0.007052186177715092,42,42,0.17647058823529413,1.0253061224489797,0.11991173611111111,20250123103316057_sardine_good_(1).png,yes,yes
19,4,20,15,2,0.007425742574257425,48,52,0.21052631578947367,1.023764617125613,0.1320448611111111,20250123103331352_sardine_good_(0).png,yes,yes
18,3,18,15,2,0.007425742574257425,45,50,0.16666666666666666,1.0225442834138487,0.12670055555555557,20250123103331352_sardine_good_(1).png,yes,yes
18,4,19,15,2,0.007288629737609329,48,47,0.2222222222222222,1.0326129666011787,0.12347638888888889,20250123103344915_sardine_good_(0).png,yes,yes
19,5,20,15,2,0.007288629737609329,47,49,0.2631578947368421,1.0348751835535976,0.13036972222222223,20250123103344915_sardine_good_(1).png,yes,yes
18,4,19,15,2,0.006818181818181818,44,49,0.2222222222222222,1.0310192023633677,0.14709326388888888,20250123103355346_sardine_good_(0).png,yes,yes
17,3,17,15,2,0.006818181818181818,43,39,0.17647058823529413,1.024609375,0.11829458333333333,20250123103355346_sardine_good_(1).png,yes,yes
1,1,1,15,2,0.006818181818181818,4,0,1.0,1.3915343915343916,0.002429375,20250123103355346_sardine_good_(2).png,yes,yes
18,4,18,15,2,0.0078125,45,42,0.2222222222222222,1.029711375212224,0.09615354166666666,20250123103404972_sardine_good_(0).png,yes,yes
19,4,19,15,2,0.0078125,46,54,0.21052631578947367,1.0240096038415367,0.12342173611111111,20250123103404972_sardine_good_(1).png,yes,yes
