FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
18.0,3.0,18.0,15.0,1.0,0.007772020725388601,42.0,44.0,0.16666666666666666,1.020680741059888,0.10266298611111112,20241203101542756_sardine_good_(0).png,yes,yes
19.0,6.0,20.0,15.0,1.0,0.007772020725388601,47.0,47.0,0.3157894736842105,1.0554880518428513,0.11006944444444444,20241203101542756_sardine_good_(1).png,yes,yes
17.0,4.0,18.0,15.0,1.0,0.006893382352941176,45.0,46.0,0.23529411764705882,1.0363355237727097,0.13631513888888888,20241207123834681_sardine_good_(0).png,yes,yes
17.0,4.0,18.0,15.0,1.0,0.006893382352941176,43.0,43.0,0.23529411764705882,1.0269005847953216,0.12612993055555555,20241207123834681_sardine_good_(1).png,yes,yes
,,,,,,,,,,,20241207123931656_sardine_good.jpeg,yes,no
16.0,3.0,16.0,15.0,1.0,0.0072254335260115606,40.0,40.0,0.1875,1.0222707423580786,0.10747111111111111,20241207123946036_sardine_good_(0).png,yes,yes
18.0,4.0,18.0,15.0,1.0,0.0072254335260115606,45.0,46.0,0.2222222222222222,1.0352,0.123656875,20241207123946036_sardine_good_(1).png,yes,yes
18.0,3.0,18.0,15.0,2.0,0.007170172084130019,43.0,44.0,0.16666666666666666,1.0194213238208483,0.12126618055555556,20241207123954064_sardine_good_(0).png,yes,yes
18.0,3.0,18.0,15.0,2.0,0.007170172084130019,42.0,41.0,0.16666666666666666,1.021420071400238,0.11156451388888888,20241207123954064_sardine_good_(1).png,yes,yes
17.0,4.0,17.0,15.0,1.0,0.007676560900716479,41.0,43.0,0.23529411764705882,1.0359550561797752,0.10220659722222222,20241207124013273_sardine_good_(0).png,yes,yes
17.0,4.0,17.0,15.0,1.0,0.007676560900716479,42.0,42.0,0.23529411764705882,1.027232142857143,0.100359375,20241207124013273_sardine_good_(1).png,yes,yes
17.0,4.0,17.0,15.0,1.0,0.007676560900716479,41.0,43.0,0.23529411764705882,1.0359550561797752,0.10220659722222222,20241207124025476_sardine_good_(0).png,yes,yes
17.0,4.0,17.0,15.0,1.0,0.007676560900716479,42.0,42.0,0.23529411764705882,1.027232142857143,0.100359375,20241207124025476_sardine_good_(1).png,yes,yes
16.0,3.0,16.0,15.0,2.0,0.006931608133086876,41.0,36.0,0.1875,1.0212765957446808,0.10662951388888889,20241212104349089_sardine_good_(0).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.006931608133086876,43.0,40.0,0.17647058823529413,1.025366627031312,0.11609791666666666,20241212104349089_sardine_good_(1).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.007302823758519961,45.0,42.0,0.17647058823529413,1.0227272727272727,0.11030736111111111,20241212104401681_sardine_good_(0).png,yes,yes
17.0,3.0,18.0,15.0,2.0,0.007302823758519961,45.0,40.0,0.17647058823529413,1.023073753605274,0.106460625,20241212104401681_sardine_good_(1).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.007874015748031496,46.0,42.0,0.2222222222222222,1.027538726333907,0.09518152777777777,20241212104432013_sardine_good_(0).png,yes,yes
18.0,4.0,19.0,15.0,2.0,0.007874015748031496,48.0,46.0,0.2222222222222222,1.0335171828595673,0.10342,20241212104432013_sardine_good_(1).png,yes,yes
18.0,3.0,18.0,15.0,2.0,0.007936507936507936,48.0,49.0,0.16666666666666666,1.0200426439232408,0.108569375,20241212104443880_sardine_good_(0).png,yes,yes
19.0,4.0,19.0,15.0,2.0,0.007936507936507936,48.0,49.0,0.21052631578947367,1.0288184438040346,0.11011923611111112,20241212104443880_sardine_good_(1).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.008201202843083653,46.0,45.0,0.23529411764705882,1.0295220243673853,0.092933125,20241212104500916_sardine_good_(0).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.008201202843083653,45.0,44.0,0.2222222222222222,1.0279783393501805,0.09089243055555556,20241212104500916_sardine_good_(1).png,yes,yes
16.0,4.0,17.0,15.0,2.0,0.008012820512820512,43.0,40.0,0.25,1.036104513064133,0.0874625,20241212104514134_sardine_good_(0).png,yes,yes
18.0,3.0,18.0,15.0,2.0,0.008012820512820512,47.0,47.0,0.16666666666666666,1.0208423795049935,0.10336125,20241212104514134_sardine_good_(1).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.0089179548156956,46.0,44.0,0.2222222222222222,1.0315994166261546,0.07738263888888888,20241212104524805_sardine_good_(0).png,yes,yes
16.0,4.0,17.0,15.0,2.0,0.0089179548156956,42.0,38.0,0.25,1.0300751879699248,0.06803631944444445,20241212104524805_sardine_good_(1).png,yes,yes
18.0,6.0,19.0,15.0,2.0,0.009566326530612245,45.0,40.0,0.3333333333333333,1.0607966457023061,0.061791875,20241212104540547_sardine_good_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.009566326530612245,40.0,35.0,0.2,1.0306825297432687,0.053491111111111114,20241212104540547_sardine_good_(1).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.009191176470588236,45.0,46.0,0.2222222222222222,1.0260782347041124,0.07578597222222222,20241212104556878_sardine_good_(0).png,yes,yes
19.0,3.0,19.0,15.0,2.0,0.009191176470588236,47.0,48.0,0.15789473684210525,1.0191204588910134,0.07914819444444444,20241212104556878_sardine_good_(1).png,yes,yes
19.0,3.0,19.0,15.0,2.0,0.008586147681740127,47.0,48.0,0.15789473684210525,1.0216606498194947,0.09054958333333334,20241212104621516_sardine_good_(0).png,yes,yes
18.0,4.0,19.0,15.0,2.0,0.008586147681740127,50.0,49.0,0.2222222222222222,1.0280924331671952,0.09357916666666667,20241212104621516_sardine_good_(1).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.008736167734420501,41.0,41.0,0.23529411764705882,1.0377263581488934,0.07526875,20241212104634780_sardine_good_(0).png,yes,yes
18.0,4.0,19.0,15.0,2.0,0.008736167734420501,47.0,47.0,0.2222222222222222,1.0315985130111525,0.08717659722222222,20241212104634780_sardine_good_(1).png,yes,yes
17.0,3.0,17.0,15.0,3.0,0.010211027910142955,43.0,45.0,0.17647058823529413,1.0250145433391507,0.06111590277777778,20241212104715409_sardine_good_(0).png,yes,yes
17.0,4.0,17.0,15.0,3.0,0.010211027910142955,44.0,46.0,0.23529411764705882,1.0329411764705883,0.06198236111111111,20241212104715409_sardine_good_(1).png,yes,yes
17.0,3.0,17.0,15.0,3.0,0.010211027910142955,43.0,45.0,0.17647058823529413,1.0250145433391507,0.06111590277777778,20241212104717139_sardine_good_(0).png,yes,yes
17.0,4.0,17.0,15.0,3.0,0.010211027910142955,44.0,46.0,0.23529411764705882,1.0329411764705883,0.06198236111111111,20241212104717139_sardine_good_(1).png,yes,yes
17.0,3.0,17.0,15.0,3.0,0.010211027910142955,43.0,45.0,0.17647058823529413,1.0250145433391507,0.06111590277777778,20241212104718763_sardine_good_(0).png,yes,yes
17.0,4.0,17.0,15.0,3.0,0.010211027910142955,44.0,46.0,0.23529411764705882,1.0329411764705883,0.06198236111111111,20241212104718763_sardine_good_(1).png,yes,yes
17.0,3.0,17.0,15.0,3.0,0.010211027910142955,43.0,45.0,0.17647058823529413,1.0250145433391507,0.06111590277777778,20241212104721215_sardine_good_(0).png,yes,yes
17.0,4.0,17.0,15.0,3.0,0.010211027910142955,44.0,46.0,0.23529411764705882,1.0329411764705883,0.06198236111111111,20241212104721215_sardine_good_(1).png,yes,yes
19.0,5.0,20.0,15.0,2.0,0.00794912559618442,48.0,49.0,0.2631578947368421,1.0396039603960396,0.10883381944444444,20241212104734789_sardine_good_(0).png,yes,yes
19.0,3.0,20.0,15.0,2.0,0.00794912559618442,45.0,46.0,0.15789473684210525,1.0201369311316955,0.10321590277777777,20241212104734789_sardine_good_(1).png,yes,yes
18.0,4.0,19.0,15.0,2.0,0.008147745790331342,48.0,46.0,0.2222222222222222,1.030967741935484,0.09627534722222222,20241212104757150_sardine_good_(0).png,yes,yes
18.0,3.0,18.0,15.0,2.0,0.008147745790331342,45.0,42.0,0.16666666666666666,1.0172872340425532,0.08903159722222222,20241212104757150_sardine_good_(1).png,yes,yes
17.0,4.0,17.0,15.0,2.0,0.008237232289950576,44.0,41.0,0.23529411764705882,1.0316395014381592,0.08580673611111111,20241212104808503_sardine_good_(0).png,yes,yes
17.0,5.0,18.0,15.0,2.0,0.008237232289950576,44.0,41.0,0.29411764705882354,1.0439508506616257,0.08404958333333333,20241212104808503_sardine_good_(1).png,yes,yes
17.0,5.0,18.0,15.0,2.0,0.008896797153024912,43.0,43.0,0.29411764705882354,1.0526843953838434,0.07622881944444444,20241212104842631_sardine_good_(0).png,yes,yes
18.0,4.0,19.0,15.0,2.0,0.008896797153024912,46.0,45.0,0.2222222222222222,1.0246679316888045,0.07916979166666667,20241212104842631_sardine_good_(1).png,yes,yes
18.0,3.0,19.0,15.0,2.0,0.008645533141210375,46.0,49.0,0.16666666666666666,1.0222944728286112,0.09217354166666666,20241212104856326_sardine_good_(0).png,yes,yes
17.0,3.0,18.0,15.0,2.0,0.008645533141210375,44.0,47.0,0.17647058823529413,1.021665864227251,0.08799652777777778,20241212104856326_sardine_good_(1).png,yes,yes
16.0,3.0,16.0,15.0,2.0,0.008907363420427554,40.0,41.0,0.1875,1.0231307154384077,0.07247923611111111,20241212104922705_sardine_good_(0).png,yes,yes
16.0,5.0,17.0,15.0,2.0,0.008907363420427554,40.0,39.0,0.3125,1.0586622807017543,0.06951729166666666,20241212104922705_sardine_good_(1).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.008635578583765112,43.0,45.0,0.23529411764705882,1.0277237354085602,0.08402034722222222,20241212105014211_sardine_good_(0).png,yes,yes
17.0,4.0,17.0,15.0,2.0,0.008635578583765112,43.0,45.0,0.23529411764705882,1.0284147557328016,0.08485791666666667,20241212105014211_sardine_good_(1).png,yes,yes
17.0,4.0,17.0,15.0,2.0,0.00855188141391106,41.0,43.0,0.23529411764705882,1.0285573609059577,0.08177319444444445,20241212105047625_sardine_good_(0).png,yes,yes
18.0,3.0,19.0,15.0,2.0,0.00855188141391106,45.0,50.0,0.16666666666666666,1.021062271062271,0.09538118055555556,20241212105047625_sardine_good_(1).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.0089179548156956,46.0,49.0,0.2222222222222222,1.0267509727626458,0.08713291666666667,20241212105129009_sardine_good_(0).png,yes,yes
16.0,4.0,16.0,15.0,2.0,0.0089179548156956,40.0,40.0,0.25,1.032555615843733,0.07081520833333334,20241212105129009_sardine_good_(1).png,yes,yes
16.0,4.0,17.0,15.0,1.0,0.00832870627429206,42.0,39.0,0.25,1.0341077607513594,0.07809847222222223,20241217102113733_sardine_good_(0).png,yes,yes
16.0,4.0,17.0,15.0,1.0,0.00832870627429206,40.0,34.0,0.25,1.0344303797468355,0.06900340277777778,20241217102113733_sardine_good_(1).png,yes,yes
15.0,3.0,16.0,15.0,2.0,0.008269018743109152,40.0,35.0,0.2,1.0267295597484276,0.07216388888888889,20241217102143956_sardine_good_(0).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.008269018743109152,45.0,40.0,0.23529411764705882,1.0271764163979733,0.08133402777777778,20241217102143956_sardine_good_(1).png,yes,yes
15.0,3.0,16.0,15.0,2.0,0.008269018743109152,40.0,35.0,0.2,1.0267295597484276,0.07216388888888889,20241217102144543_sardine_good_(0).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.008269018743109152,45.0,40.0,0.23529411764705882,1.0271764163979733,0.08133402777777778,20241217102144543_sardine_good_(1).png,yes,yes
15.0,3.0,16.0,15.0,2.0,0.008269018743109152,40.0,35.0,0.2,1.0267295597484276,0.07216388888888889,20241217102148518_sardine_good_(0).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.008269018743109152,45.0,40.0,0.23529411764705882,1.0271764163979733,0.08133402777777778,20241217102148518_sardine_good_(1).png,yes,yes
16.0,3.0,16.0,15.0,2.0,0.007458975634012929,42.0,37.0,0.1875,1.024112829845314,0.09396284722222223,20241217102218186_sardine_good_(0).png,yes,yes
16.0,3.0,17.0,15.0,2.0,0.007458975634012929,42.0,36.0,0.1875,1.0199379707576428,0.09192840277777778,20241217102218186_sardine_good_(1).png,yes,yes
16.0,4.0,17.0,15.0,2.0,0.00792393026941363,41.0,40.0,0.25,1.0385700846660395,0.08907479166666667,20241217102237491_sardine_good_(0).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.00792393026941363,44.0,45.0,0.2222222222222222,1.0250439367311073,0.101211875,20241217102237491_sardine_good_(1).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.008165487207403375,43.0,39.0,0.17647058823529413,1.020446980504042,0.08285118055555556,20241217102303182_sardine_good_(0).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.008165487207403375,45.0,44.0,0.2222222222222222,1.029030817329165,0.09306645833333334,20241217102303182_sardine_good_(1).png,yes,yes
16.0,3.0,16.0,15.0,2.0,0.007932310946589107,41.0,35.0,0.1875,1.0281280310378274,0.0786375,20241217102317301_sardine_good_(0).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.007932310946589107,44.0,41.0,0.17647058823529413,1.0222727272727272,0.09270534722222222,20241217102317301_sardine_good_(1).png,yes,yes
16.0,4.0,16.0,15.0,1.0,0.007692307692307693,39.0,39.0,0.25,1.0340038314176245,0.09157451388888889,20241217102342113_sardine_good_(0).png,yes,yes
17.0,4.0,17.0,15.0,1.0,0.007692307692307693,42.0,40.0,0.23529411764705882,1.028850421660009,0.09617666666666666,20241217102342113_sardine_good_(1).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.008296460176991151,44.0,41.0,0.17647058823529413,1.0238210986874088,0.084498125,20241217102352930_sardine_good_(0).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.008296460176991151,45.0,41.0,0.17647058823529413,1.02284626368396,0.08354083333333333,20241217102352930_sardine_good_(1).png,yes,yes
16.0,4.0,16.0,15.0,1.0,0.007692307692307693,39.0,39.0,0.25,1.0340038314176245,0.09157451388888889,20241217102403235_sardine_good_(0).png,yes,yes
17.0,4.0,17.0,15.0,1.0,0.007692307692307693,42.0,40.0,0.23529411764705882,1.028850421660009,0.09617666666666666,20241217102403235_sardine_good_(1).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.007541478129713424,45.0,43.0,0.23529411764705882,1.0330788804071247,0.10589583333333333,20241217102414808_sardine_good_(0).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.007541478129713424,43.0,41.0,0.17647058823529413,1.0241016652059596,0.10153479166666667,20241217102414808_sardine_good_(1).png,yes,yes
17.0,4.0,17.0,15.0,2.0,0.008455467869222097,41.0,42.0,0.23529411764705882,1.0317617866004962,0.08212201388888889,20241217102427576_sardine_good_(0).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.008455467869222097,43.0,43.0,0.23529411764705882,1.027462121212121,0.08479472222222222,20241217102427576_sardine_good_(1).png,yes,yes
17.0,3.0,18.0,15.0,2.0,0.008465011286681716,43.0,46.0,0.17647058823529413,1.022488038277512,0.09046631944444444,20241217102502191_sardine_good_(0).png,yes,yes
18.0,4.0,19.0,15.0,2.0,0.008465011286681716,46.0,47.0,0.2222222222222222,1.0247191011235954,0.092689375,20241217102502191_sardine_good_(1).png,yes,yes
17.0,4.0,17.0,15.0,1.0,0.007621951219512195,43.0,42.0,0.23529411764705882,1.032487761459724,0.10058652777777778,20241217102604541_sardine_good_(0).png,yes,yes
18.0,4.0,19.0,15.0,1.0,0.007621951219512195,48.0,48.0,0.2222222222222222,1.0338436744560837,0.11663597222222222,20241217102604541_sardine_good_(1).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.008640552995391706,45.0,45.0,0.2222222222222222,1.0295660467334287,0.08375875,20241217102634656_sardine_good_(0).png,yes,yes
16.0,3.0,17.0,15.0,2.0,0.008640552995391706,43.0,45.0,0.1875,1.0229357798165137,0.08473465277777778,20241217102634656_sardine_good_(1).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.008130081300813009,43.0,46.0,0.17647058823529413,1.0246168137482583,0.0968675,20241217102655995_sardine_good_(0).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.008130081300813009,42.0,45.0,0.23529411764705882,1.0287934186471663,0.09597305555555556,20241217102655995_sardine_good_(1).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.008130081300813009,43.0,46.0,0.17647058823529413,1.0246168137482583,0.0968675,20241217102657158_sardine_good_(0).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.008130081300813009,42.0,45.0,0.23529411764705882,1.0287934186471663,0.09597305555555556,20241217102657158_sardine_good_(1).png,yes,yes
17.0,4.0,17.0,15.0,2.0,0.008310249307479225,43.0,43.0,0.23529411764705882,1.033220991815118,0.08677819444444444,20241217102708059_sardine_good_(0).png,yes,yes
18.0,3.0,18.0,15.0,2.0,0.008310249307479225,45.0,45.0,0.16666666666666666,1.0224820143884892,0.09109277777777777,20241217102708059_sardine_good_(1).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.00859106529209622,44.0,48.0,0.23529411764705882,1.02653159671973,0.09173215277777778,20241217102723416_sardine_good_(0).png,yes,yes
17.0,4.0,18.0,15.0,2.0,0.00859106529209622,43.0,44.0,0.23529411764705882,1.0265957446808511,0.08355944444444445,20241217102723416_sardine_good_(1).png,yes,yes
17.0,4.0,17.0,15.0,2.0,0.008165487207403375,41.0,45.0,0.23529411764705882,1.026615969581749,0.09460736111111111,20241217102745961_sardine_good_(0).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.008165487207403375,44.0,45.0,0.2222222222222222,1.0347943967464979,0.09478076388888888,20241217102745961_sardine_good_(1).png,yes,yes
17.0,4.0,17.0,15.0,2.0,0.008165487207403375,41.0,45.0,0.23529411764705882,1.026615969581749,0.09460736111111111,20241217102757590_sardine_good_(0).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.008165487207403375,44.0,45.0,0.2222222222222222,1.0347943967464979,0.09478076388888888,20241217102757590_sardine_good_(1).png,yes,yes
16.0,4.0,17.0,15.0,2.0,0.00821917808219178,42.0,43.0,0.25,1.0377906976744187,0.08977354166666666,20241217102834835_sardine_good_(0).png,yes,yes
