                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0317,                0.57722,                 0.9247,                 0.9041,                0.90117,                0.94134,                0.71102,                 0.8694,                0.47763,                0.89171,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.0309,                0.57452,                0.92093,                0.90554,                0.89535,                0.93766,                0.71191,                0.86341,                0.47405,                0.88901,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.0358,                0.57175,                0.92023,                0.90187,                0.90062,                0.93813,                0.71252,                0.85379,                0.46952,                0.89008,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.0272,                  0.566,                0.92285,                0.91179,                0.89556,                0.93928,                0.71395,                0.84265,                0.46528,                0.88871,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.0046,                0.55733,                0.91746,                0.90797,                 0.8982,                0.93929,                0.71078,                0.86541,                0.47041,                0.89016,             0.00032553,             0.00032553,             0.00032553
                     41,                0.99205,                0.54651,                0.92823,                0.90243,                0.90484,                0.94099,                0.70781,                 0.8806,                0.47106,                0.89132,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.0025,                0.54606,                0.93251,                0.90971,                0.90065,                0.94231,                0.71493,                0.84635,                 0.4666,                0.88803,             0.00026894,             0.00026894,             0.00026894
                     43,                0.98487,                0.54501,                0.92858,                0.91066,                0.89592,                0.94014,                  0.716,                0.83831,                0.46343,                0.88612,             0.00024064,             0.00024064,             0.00024064
                     44,                 0.9838,                0.53532,                0.93114,                0.90607,                0.90258,                0.94116,                0.71623,                0.84059,                0.46407,                0.88857,             0.00021235,             0.00021235,             0.00021235
                     45,                0.98539,                0.53351,                0.92839,                0.91063,                0.90194,                0.94277,                 0.7192,                0.84723,                0.45834,                0.88717,             0.00018406,             0.00018406,             0.00018406
                     46,                0.98681,                0.53401,                0.92659,                0.90732,                0.90427,                0.94198,                 0.7194,                0.83832,                0.45436,                0.88607,             0.00015576,             0.00015576,             0.00015576
                     47,                0.97865,                0.52259,                0.92865,                 0.9151,                0.90025,                0.94293,                0.72059,                0.83877,                0.45234,                0.88618,             0.00012747,             0.00012747,             0.00012747
                     48,                0.97462,                0.52156,                0.92153,                0.90648,                0.90688,                0.94192,                0.72245,                0.83045,                0.45071,                0.88502,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.96453,                0.51946,                0.92122,                 0.9128,                0.90312,                0.94326,                0.71884,                0.84894,                0.45363,                0.88784,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 0.9711,                0.51761,                0.92724,                0.91066,                0.90325,                0.94351,                0.72496,                0.82644,                0.44659,                0.88384,             4.2584e-05,             4.2584e-05,             4.2584e-05
