FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,SegmentedFilename,FishDetected,ScaleDetected
16.0,3.0,16.0,15.0,2.0,0.006440532417346501,41.0,38.0,0.1875,1.023659305993691,0.15588388814131318,20240502101204227_sardine_bad_(0).png,yes,yes
13.0,3.0,14.0,15.0,1.0,0.006669630947087594,34.0,26.0,0.23076923076923078,1.0246020260492041,0.09880431271092315,20240502101213407_sardine_bad_(0).png,yes,yes
13.0,3.0,14.0,15.0,2.0,0.006584723441615452,33.0,28.0,0.23076923076923078,1.040677966101695,0.1093308629960699,20240502101223184_sardine_bad_(0).png,yes,yes
14.0,3.0,15.0,15.0,3.0,0.006573181419807186,37.0,29.0,0.21428571428571427,1.028175313059034,0.11230122495621342,20240502101231664_sardine_bad_(0).png,yes,yes
15.0,4.0,16.0,15.0,3.0,0.006944444444444444,39.0,33.0,0.26666666666666666,1.0469769464984775,0.11598303537101115,20240502101239618_sardine_bad_(0).png,yes,yes
15.0,5.0,16.0,15.0,3.0,0.0063371356147021544,39.0,31.0,0.3333333333333333,1.0637254901960784,0.1306781546360374,20240502101311749_sardine_bad_(0).png,yes,yes
14.0,3.0,14.0,15.0,1.0,0.0063025210084033615,35.0,34.0,0.21428571428571427,1.0362030905077262,0.14608347083386733,20240502101320790_sardine_bad_(0).png,yes,yes
16.0,3.0,16.0,15.0,2.0,0.007242877836793819,40.0,36.0,0.1875,1.0240106714095154,0.11766883530372933,20240502101333531_sardine_bad_(0).png,yes,yes
14.0,3.0,14.0,15.0,2.0,0.006657789613848202,34.0,31.0,0.21428571428571427,1.0252808988764044,0.11747785306933231,20240502101341693_sardine_bad_(0).png,yes,yes
17.0,3.0,18.0,15.0,1.0,0.006669630947087594,44.0,41.0,0.17647058823529413,1.0234375,0.15504578567538127,20240502101350519_sardine_bad_(0).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.006175380815150268,37.0,30.0,0.2,1.0190627482128674,0.13141621878871373,20240502101358886_sardine_bad_(0).png,yes,yes
14.0,4.0,15.0,15.0,1.0,0.0063264445381695485,35.0,31.0,0.2857142857142857,1.0399656209712076,0.13219575003203896,20240502101408662_sardine_bad_(0).png,yes,yes
14.0,2.0,14.0,15.0,1.0,0.005947660586835844,35.0,26.0,0.14285714285714285,1.022090059473237,0.12479308172070572,20240502101418022_sardine_bad_(0).png,yes,yes
14.0,4.0,15.0,15.0,1.0,0.006208609271523178,37.0,30.0,0.2857142857142857,1.0391014975041597,0.13311111311354606,20240502101428004_sardine_bad_(0).png,yes,yes
14.0,2.0,14.0,15.0,1.0,0.006382978723404255,34.0,26.0,0.14285714285714285,1.0204174228675136,0.10700253174526891,20240502101529858_sardine_bad_(0).png,yes,yes
15.0,3.0,15.0,15.0,1.0,0.005580357142857143,38.0,32.0,0.2,1.0261532873229204,0.1754188927068649,20240502101541566_sardine_bad_(0).png,yes,yes
17.0,3.0,17.0,15.0,2.0,0.0066254416961130744,44.0,44.0,0.17647058823529413,1.0253456221198156,0.16782824581357597,20240502101548813_sardine_bad_(0).png,yes,yes
14.0,3.0,15.0,15.0,3.0,0.00628140703517588,35.0,33.0,0.21428571428571427,1.0275032230339494,0.1412324887062668,20240502101556254_sardine_bad_(0).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.006459948320413436,35.0,28.0,0.21428571428571427,1.0299427564949362,0.11212133954889145,20240502101604319_sardine_bad_(0).png,yes,yes
16.0,5.0,17.0,15.0,3.0,0.006255212677231026,39.0,40.0,0.3125,1.065293431791683,0.17274230464244522,20240502101612899_sardine_bad_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.0062318238471125885,36.0,33.0,0.2,1.023927392739274,0.14329432923768637,20240502101621483_sardine_bad_(0).png,yes,yes
15.0,3.0,16.0,15.0,2.0,0.006473888649115235,39.0,32.0,0.2,1.0204834084391643,0.13045763648596695,20240502101632842_sardine_bad_(0).png,yes,yes
16.0,3.0,16.0,15.0,2.0,0.006234413965087282,40.0,33.0,0.1875,1.0265755504935459,0.14282534228288266,20240502101640496_sardine_bad_(0).png,yes,yes
13.0,4.0,14.0,15.0,2.0,0.0066050198150594455,34.0,28.0,0.3076923076923077,1.0586820586820587,0.11044605239971805,20240502101652070_sardine_bad_(0).png,yes,yes
15.0,3.0,15.0,15.0,2.0,0.006663705019991115,36.0,35.0,0.2,1.0236323851203502,0.13243412322717757,20240502101700385_sardine_bad_(0).png,yes,yes
14.0,3.0,14.0,15.0,2.0,0.006172839506172839,34.0,29.0,0.21428571428571427,1.0277898393399914,0.12937064804135162,20240502101713830_sardine_bad_(0).png,yes,yes
18.0,4.0,18.0,15.0,2.0,0.006938020351526364,46.0,46.0,0.2222222222222222,1.022803738317757,0.16208926721560082,20240502101721790_sardine_bad_(0).png,yes,yes
14.0,4.0,15.0,15.0,2.0,0.00675371454299865,35.0,33.0,0.2857142857142857,1.0402745995423341,0.12276436480093127,20240502101730919_sardine_bad_(0).png,yes,yes
14.0,3.0,14.0,15.0,2.0,0.006613756613756613,35.0,32.0,0.21428571428571427,1.0379805465493284,0.12277245797556495,20240502101740348_sardine_bad_(0).png,yes,yes
15.0,4.0,15.0,15.0,2.0,0.006720430107526882,38.0,26.0,0.26666666666666666,1.0414644905161006,0.09632546509889359,20240502101748311_sardine_bad_(0).png,yes,yes
16.0,5.0,17.0,15.0,3.0,0.006350550381033023,42.0,37.0,0.3125,1.0539273153575615,0.15331401317335214,20240502101756293_sardine_bad_(0).png,yes,yes
13.0,4.0,14.0,15.0,1.0,0.00702576112412178,35.0,29.0,0.3076923076923077,1.0492738589211619,0.0993464719765902,20240502101815841_sardine_bad_(0).png,yes,yes
14.0,3.0,14.0,15.0,1.0,0.006440532417346501,37.0,29.0,0.21428571428571427,1.023671281822242,0.11682614392434534,20240502101824796_sardine_bad_(0).png,yes,yes
13.0,3.0,14.0,15.0,1.0,0.00629987400251995,34.0,29.0,0.23076923076923078,1.0249320036264733,0.12491523025332137,20240502101833158_sardine_bad_(0).png,yes,yes
12.0,4.0,13.0,15.0,1.0,0.006631299734748011,32.0,27.0,0.3333333333333333,1.0573770491803278,0.10329010076252723,20240502101841431_sardine_bad_(0).png,yes,yes
14.0,3.0,14.0,15.0,2.0,0.006607929515418502,34.0,29.0,0.21428571428571427,1.0301318267419963,0.11382416017877739,20240502101850371_sardine_bad_(0).png,yes,yes
14.0,3.0,15.0,15.0,2.0,0.006247396917950854,36.0,35.0,0.21428571428571427,1.0281867900715187,0.15356657028279722,20240502101902699_sardine_bad_(0).png,yes,yes
15.0,3.0,16.0,15.0,2.0,0.006570302233902759,39.0,34.0,0.2,1.0213991769547326,0.13225966108120807,20240502101910976_sardine_bad_(0).png,yes,yes
16.0,4.0,16.0,15.0,1.0,0.006550218340611353,40.0,36.0,0.25,1.040766408479413,0.14060580999829125,20240502101918623_sardine_bad_(0).png,yes,yes
15.0,3.0,15.0,15.0,4.0,0.00663716814159292,37.0,34.0,0.2,1.028693790149893,0.13150190631808278,20240502101948494_sardine_bad_(0).png,yes,yes
13.0,3.0,13.0,15.0,3.0,0.006507592190889371,34.0,28.0,0.23076923076923078,1.0277114190157668,0.1124448996646589,20240502101955611_sardine_bad_(0).png,yes,yes
16.0,3.0,16.0,15.0,3.0,0.006323777403035413,38.0,31.0,0.1875,1.0220820189274449,0.13087038839228501,20240502102008013_sardine_bad_(0).png,yes,yes
16.0,3.0,16.0,15.0,4.0,0.006504770164787511,40.0,35.0,0.1875,1.0228731942215088,0.13943463585052757,20240502102016408_sardine_bad_(0).png,yes,yes
14.0,3.0,15.0,15.0,3.0,0.0062266500622665,37.0,34.0,0.21428571428571427,1.034351145038168,0.14688344360075184,20240502102025379_sardine_bad_(0).png,yes,yes
13.0,4.0,14.0,15.0,2.0,0.006109979633401222,35.0,33.0,0.3076923076923077,1.0402978537012701,0.15169537824661455,20240502102034860_sardine_bad_(0).png,yes,yes
14.0,3.0,14.0,15.0,3.0,0.006613756613756613,35.0,32.0,0.21428571428571427,1.0277906438165818,0.1245079850431458,20240502102042658_sardine_bad_(0).png,yes,yes
