SegmentedFilename,FishDetected,FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,ScaleDetected
20240921100036312_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,1.0,0.005912495072920773,42.0,45.0,0.23529411764705882,1.0286103542234333,0.18070277777777777,yes
20240921100053422_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,3.0,0.005345687811831789,43.0,48.0,0.2222222222222222,1.024025783767946,0.23370305555555557,yes
20240921100103441_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,1.0,0.005502567865003668,46.0,45.0,0.2222222222222222,1.0292275574112735,0.209835,yes
20240921100126286_sardine_good_(0).png,yes,20.0,4.0,21.0,15.0,1.0,0.006038647342995169,53.0,54.0,0.2,1.0236515719642343,0.20808194444444444,yes
20240921100140246_sardine_good_(0).png,yes,18.0,3.0,18.0,15.0,1.0,0.005289139633286318,44.0,47.0,0.16666666666666666,1.0211226851851851,0.23433756944444445,yes
20240921100149595_sardine_good_(0).png,yes,21.0,4.0,21.0,15.0,2.0,0.006172839506172839,52.0,58.0,0.19047619047619047,1.0209485016002329,0.211968125,yes
20240921100157911_sardine_good_(0).png,yes,20.0,5.0,20.0,15.0,1.0,0.005861664712778429,46.0,48.0,0.25,1.0358705161854769,0.19785631944444446,yes
20240921100214441_sardine_good_(0).png,yes,19.0,4.0,19.0,15.0,3.0,0.006744604316546762,47.0,56.0,0.21052631578947367,1.0257132793237056,0.1714138888888889,yes
20240921100226703_sardine_good_(0).png,yes,20.0,4.0,21.0,15.0,1.0,0.006038647342995169,53.0,54.0,0.2,1.0236515719642343,0.20808194444444444,yes
20240921100227240_sardine_good_(0).png,yes,20.0,4.0,20.0,15.0,1.0,0.005742725880551302,49.0,57.0,0.2,1.0217765042979943,0.24231569444444445,yes
20240921100242660_sardine_good_(0).png,yes,19.0,3.0,19.0,15.0,1.0,0.005607476635514018,47.0,51.0,0.15789473684210525,1.0194259205566831,0.22871416666666666,yes
20240921100254538_sardine_good_(0).png,yes,18.0,5.0,18.0,15.0,1.0,0.005639097744360902,45.0,49.0,0.2777777777777778,1.0379943942696979,0.21525465277777778,yes
20240921100304150_sardine_good_(0).png,yes,19.0,3.0,19.0,15.0,1.0,0.005541189508681197,47.0,51.0,0.15789473684210525,1.020372526193248,0.2342590972222222,yes
20240921100315989_sardine_good_(0).png,yes,19.0,4.0,20.0,15.0,3.0,0.006310475389145982,48.0,53.0,0.21052631578947367,1.027366387636832,0.18485375,yes
20240921100326696_sardine_good_(0).png,yes,18.0,5.0,18.0,15.0,3.0,0.0053705692803437165,46.0,45.0,0.2777777777777778,1.0393325387365913,0.22130430555555555,yes
20240921100337146_sardine_good_(0).png,yes,20.0,4.0,21.0,15.0,2.0,0.005884660651235779,51.0,63.0,0.2,1.0213189312109152,0.25545534722222224,yes
20240921100349082_sardine_good_(0).png,yes,18.0,5.0,19.0,15.0,2.0,0.005405405405405406,49.0,49.0,0.2777777777777778,1.0403087478559176,0.23440659722222223,yes
20240921100359279_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,1.0,0.005494505494505495,42.0,43.0,0.17647058823529413,1.0232558139534884,0.20237680555555557,yes
20240921100431052_sardine_good_(0).png,yes,17.0,3.0,17.0,15.0,2.0,0.005590756615728662,44.0,42.0,0.17647058823529413,1.0234726688102893,0.18865895833333332,yes
20240921100445602_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,1.0,0.0060901339829476245,45.0,48.0,0.2222222222222222,1.027686222808174,0.182788125,yes
20240921100505724_sardine_good_(0).png,yes,17.0,3.0,18.0,15.0,1.0,0.006,44.0,44.0,0.17647058823529413,1.0223199188366587,0.17283222222222222,yes
20240921100608174_sardine_good.jpeg,yes,,,,,,,,,,,,no
20240921100618471_sardine_good_(0).png,yes,20.0,4.0,21.0,15.0,1.0,0.005905511811023622,53.0,55.0,0.2,1.0275099262620533,0.22085805555555554,yes
20240921100632907_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,2.0,0.005518763796909493,46.0,45.0,0.2222222222222222,1.0244798041615668,0.205501875,yes
