                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75529,                0.49654,                0.90537,                0.72527,                 0.7625,                0.78154,                0.64599,                 0.5834,                0.49593,                0.88401,             0.00045904,             0.00045904,             0.00045904
                     37,                0.74801,                0.49808,                0.90291,                0.71919,                0.76501,                 0.7861,                0.65066,                0.58112,                0.47556,                0.88285,             0.00044619,             0.00044619,             0.00044619
                     38,                0.74927,                0.49652,                0.90235,                0.72027,                0.76818,                0.78323,                0.64601,                0.58442,                0.47669,                0.88334,             0.00043333,             0.00043333,             0.00043333
                     39,                0.74202,                0.49002,                0.90054,                0.75788,                0.72646,                 0.7787,                0.64869,                0.56354,                0.47652,                0.87734,             0.00042048,             0.00042048,             0.00042048
                     40,                0.74021,                0.48823,                0.90003,                0.71872,                0.76949,                0.78519,                0.65095,                0.58513,                 0.4808,                0.88095,             0.00040762,             0.00040762,             0.00040762
                     41,                0.73578,                0.48376,                0.89819,                0.71591,                0.77092,                0.78683,                0.65387,                0.58755,                 0.4847,                 0.8808,             0.00039477,             0.00039477,             0.00039477
                     42,                0.73486,                0.48366,                0.89843,                0.74353,                0.74453,                 0.7832,                0.65274,                0.56768,                0.47638,                0.87737,             0.00038191,             0.00038191,             0.00038191
                     43,                0.73631,                0.48521,                0.89988,                0.74007,                0.75988,                0.78835,                0.65558,                0.57367,                0.47443,                 0.8779,             0.00036905,             0.00036905,             0.00036905
                     44,                 0.7277,                 0.4783,                0.89611,                0.73558,                0.74043,                0.78215,                0.65208,                0.57342,                0.47339,                0.87699,              0.0003562,              0.0003562,              0.0003562
                     45,                 0.7269,                0.47855,                0.89598,                0.73795,                0.77188,                0.78685,                0.65876,                0.56429,                0.46233,                0.87459,             0.00034334,             0.00034334,             0.00034334
                     46,                0.72347,                0.47271,                0.89624,                0.73375,                0.76633,                0.78658,                0.65848,                0.56306,                 0.4639,                 0.8754,             0.00033049,             0.00033049,             0.00033049
                     47,                0.71942,                0.47176,                0.89603,                0.73342,                0.75702,                0.78711,                0.65693,                 0.5686,                0.46972,                0.87466,             0.00031763,             0.00031763,             0.00031763
                     48,                0.71884,                0.47369,                0.89326,                0.73037,                0.77036,                 0.7897,                0.65491,                0.58164,                0.46682,                0.87856,             0.00030477,             0.00030477,             0.00030477
                     49,                0.71184,                0.46781,                0.89372,                0.75161,                0.77133,                0.78952,                0.65896,                0.56256,                0.45986,                 0.8755,             0.00029192,             0.00029192,             0.00029192
                     50,                0.71504,                0.46772,                0.89401,                 0.7488,                0.75657,                0.78398,                0.65295,                0.56828,                0.47025,                0.87577,             0.00027906,             0.00027906,             0.00027906
                     51,                0.70796,                0.46267,                0.89142,                0.76144,                0.75182,                0.78761,                0.65796,                0.56643,                0.46621,                0.87644,             0.00026621,             0.00026621,             0.00026621
                     52,                0.70699,                0.46152,                0.89184,                0.73115,                0.76384,                 0.7888,                0.65917,                0.56097,                0.46658,                0.87176,             0.00025335,             0.00025335,             0.00025335
                     53,                0.70284,                 0.4599,                 0.8909,                0.75116,                0.76588,                0.79113,                0.65886,                0.56535,                0.46305,                0.87212,              0.0002405,              0.0002405,              0.0002405
                     54,                0.70286,                0.45939,                 0.8909,                0.74778,                0.76286,                0.79241,                0.66229,                0.56471,                0.46491,                0.87304,             0.00022764,             0.00022764,             0.00022764
                     55,                0.70039,                0.45892,                0.89019,                0.75772,                 0.7543,                0.79306,                0.66253,                0.55854,                0.45961,                0.87119,             0.00021478,             0.00021478,             0.00021478
                     56,                0.69414,                0.45503,                0.88798,                0.75743,                0.75053,                0.78521,                0.65523,                0.56083,                0.46068,                0.87189,             0.00020193,             0.00020193,             0.00020193
                     57,                0.68878,                0.45107,                0.88556,                0.73646,                0.76958,                0.78591,                0.65633,                0.56132,                0.46481,                0.87152,             0.00018907,             0.00018907,             0.00018907
                     58,                 0.6846,                0.45001,                0.88598,                 0.7644,                0.73477,                0.78492,                0.65629,                0.55967,                0.46513,                0.87153,             0.00017622,             0.00017622,             0.00017622
                     59,                0.68685,                0.44856,                0.88608,                0.72523,                0.77164,                0.78857,                 0.6579,                0.56275,                0.46595,                0.87273,             0.00016336,             0.00016336,             0.00016336
                     60,                0.68516,                0.44648,                0.88659,                0.74034,                0.76405,                0.78441,                0.65464,                0.56309,                0.46952,                0.87228,              0.0001505,              0.0001505,              0.0001505
                     61,                0.67054,                0.42428,                0.89356,                 0.7391,                0.75519,                0.78097,                 0.6546,                0.55626,                0.47029,                0.87126,             0.00013765,             0.00013765,             0.00013765
                     62,                0.65827,                0.41372,                0.88904,                 0.7398,                0.77203,                0.78232,                0.65459,                0.55773,                0.46425,                0.87301,             0.00012479,             0.00012479,             0.00012479
                     63,                0.65466,                0.41087,                0.88782,                0.73571,                0.76509,                0.78334,                0.65401,                0.55661,                0.46545,                 0.8711,             0.00011194,             0.00011194,             0.00011194
                     64,                0.64975,                0.40618,                0.88625,                0.74734,                0.74728,                0.77893,                0.65201,                 0.5573,                0.47037,                0.87203,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     65,                0.64726,                0.40487,                0.88602,                0.73759,                0.75966,                0.77947,                0.65252,                0.55632,                0.46805,                0.87202,             8.6225e-05,             8.6225e-05,             8.6225e-05
                     66,                0.64227,                0.40205,                0.88446,                0.74178,                0.76336,                0.78097,                 0.6534,                0.55684,                0.46792,                0.87169,             7.3369e-05,             7.3369e-05,             7.3369e-05
                     67,                0.64179,                0.40055,                0.88442,                0.74209,                0.75614,                0.77935,                0.65313,                0.55251,                 0.4671,                0.87085,             6.0513e-05,             6.0513e-05,             6.0513e-05
                     68,                0.63692,                0.39789,                0.88216,                0.74255,                0.75962,                0.78011,                 0.6527,                0.55401,                0.46635,                 0.8708,             4.7658e-05,             4.7658e-05,             4.7658e-05
                     69,                 0.6354,                0.39545,                0.88335,                0.73608,                0.76233,                0.78014,                0.65195,                0.55645,                0.46811,                0.87176,             3.4802e-05,             3.4802e-05,             3.4802e-05
                     70,                0.63373,                0.39492,                0.88247,                0.73977,                 0.7601,                0.78126,                 0.6526,                0.55479,                0.46752,                0.87141,             2.1946e-05,             2.1946e-05,             2.1946e-05
