                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.97836,                0.55088,                0.97221,                0.88029,                0.83618,                0.88997,                0.70402,                0.70911,                0.44014,                0.90285,               0.006436,               0.006436,               0.006436
                     38,                0.96959,                0.54618,                0.97117,                0.86518,                0.85311,                0.88965,                0.70182,                0.71278,                0.43979,                0.90462,               0.006337,               0.006337,               0.006337
                     39,                0.96954,                0.54763,                0.96762,                 0.8471,                0.87069,                0.89047,                0.70588,                0.68973,                 0.4293,                0.89624,               0.006238,               0.006238,               0.006238
                     40,                 0.9666,                0.54485,                0.96863,                0.88634,                0.85863,                0.89241,                0.71068,                0.69741,                0.43693,                0.89798,               0.006139,               0.006139,               0.006139
                     41,                0.96035,                0.54569,                0.96594,                0.87545,                 0.8537,                0.89201,                0.70766,                0.70564,                0.43244,                0.89951,                0.00604,                0.00604,                0.00604
                     42,                0.96591,                 0.5434,                0.96607,                0.85418,                0.87375,                0.89386,                  0.709,                0.70243,                0.43205,                0.89767,               0.005941,               0.005941,               0.005941
                     43,                0.94919,                  0.537,                0.96366,                0.88756,                0.85005,                0.90029,                0.71842,                0.69908,                0.42958,                0.89837,               0.005842,               0.005842,               0.005842
                     44,                0.95175,                0.53627,                0.96375,                0.86777,                0.85388,                0.89496,                0.71449,                0.69844,                0.42592,                0.89669,               0.005743,               0.005743,               0.005743
                     45,                0.95227,                0.53451,                0.96203,                0.88635,                0.84021,                0.89351,                0.71287,                0.69432,                0.42518,                0.89484,               0.005644,               0.005644,               0.005644
                     46,                0.94403,                0.53283,                0.95912,                0.87509,                0.85257,                0.89007,                 0.7141,                0.69266,                0.42194,                0.89337,               0.005545,               0.005545,               0.005545
                     47,                0.94463,                0.53502,                0.95756,                 0.8863,                0.84213,                0.89358,                0.71468,                0.69329,                0.42264,                 0.8941,               0.005446,               0.005446,               0.005446
                     48,                0.93658,                0.52836,                0.95812,                0.87112,                0.86032,                0.89549,                0.71373,                0.68588,                0.42028,                0.89358,               0.005347,               0.005347,               0.005347
                     49,                0.94541,                0.52915,                0.95817,                0.88916,                0.84971,                0.88976,                0.71386,                0.69132,                0.41898,                0.89358,               0.005248,               0.005248,               0.005248
                     50,                0.93518,                  0.525,                0.95676,                0.88734,                0.85099,                0.89492,                0.71034,                0.68519,                0.41629,                0.89146,               0.005149,               0.005149,               0.005149
                     51,                0.92969,                 0.5248,                0.95631,                0.88705,                0.83998,                0.89362,                0.71584,                0.68282,                0.41854,                 0.8911,                0.00505,                0.00505,                0.00505
                     52,                0.94254,                0.52795,                0.95574,                 0.8846,                0.85758,                0.89744,                0.71407,                 0.6829,                0.41666,                0.89058,               0.004951,               0.004951,               0.004951
                     53,                0.92364,                0.52144,                0.95386,                 0.8833,                 0.8515,                0.89738,                0.71788,                0.68252,                0.41548,                0.89094,               0.004852,               0.004852,               0.004852
                     54,                0.92375,                0.51911,                0.95132,                0.89644,                 0.8418,                0.89725,                0.71899,                0.68488,                0.41432,                0.89131,               0.004753,               0.004753,               0.004753
                     55,                0.92735,                0.51874,                0.95357,                0.89174,                0.84165,                0.89648,                0.72148,                0.67946,                0.41073,                0.89023,               0.004654,               0.004654,               0.004654
                     56,                0.92074,                0.51423,                0.95109,                0.88664,                0.86405,                0.89877,                  0.721,                0.67908,                0.41142,                0.89009,               0.004555,               0.004555,               0.004555
                     57,                0.91665,                0.51036,                0.94973,                0.87202,                0.88226,                0.90296,                0.72233,                0.67644,                0.40971,                 0.8902,               0.004456,               0.004456,               0.004456
                     58,                0.91726,                0.51106,                0.95021,                0.88424,                 0.8812,                0.90367,                0.72554,                0.67701,                0.40758,                0.88925,               0.004357,               0.004357,               0.004357
                     59,                0.91732,                0.51028,                0.95203,                0.86652,                0.87869,                0.90086,                0.72104,                0.67604,                0.40797,                0.88979,               0.004258,               0.004258,               0.004258
                     60,                0.92045,                0.51153,                0.95046,                 0.8417,                0.89091,                0.89989,                0.71492,                 0.6755,                0.40539,                0.88886,               0.004159,               0.004159,               0.004159
                     61,                 0.9113,                0.50506,                 0.9479,                0.87756,                0.86509,                0.89842,                0.71696,                0.67491,                0.40762,                0.88782,                0.00406,                0.00406,                0.00406
                     62,                 0.9139,                0.51119,                0.94776,                0.87308,                0.87055,                0.90148,                0.72132,                0.67263,                0.40416,                0.88738,               0.003961,               0.003961,               0.003961
                     63,                0.91217,                0.50565,                0.94717,                0.86675,                0.87047,                0.89743,                0.71774,                 0.6741,                0.40532,                0.88661,               0.003862,               0.003862,               0.003862
                     64,                 0.9049,                0.50558,                0.94617,                0.89823,                0.84615,                0.89786,                0.72185,                0.67468,                0.40359,                0.88635,               0.003763,               0.003763,               0.003763
                     65,                0.90649,                0.50559,                0.94682,                0.86311,                0.87626,                0.89833,                0.71869,                0.67353,                0.40361,                0.88609,               0.003664,               0.003664,               0.003664
                     66,                 0.8968,                0.49825,                0.94425,                0.89364,                0.85268,                0.90499,                0.72273,                0.67228,                0.40102,                0.88609,               0.003565,               0.003565,               0.003565
                     67,                0.90278,                0.50517,                0.94294,                0.88671,                0.86906,                0.90412,                0.72213,                0.67214,                0.40131,                0.88573,               0.003466,               0.003466,               0.003466
                     68,                0.89657,                0.49802,                 0.9436,                0.89888,                0.87012,                0.90684,                0.72649,                0.67114,                 0.4012,                0.88538,               0.003367,               0.003367,               0.003367
                     69,                0.90161,                0.49987,                0.94499,                 0.8931,                0.86461,                0.90182,                0.72257,                0.66937,                0.39949,                0.88453,               0.003268,               0.003268,               0.003268
                     70,                0.88815,                0.49531,                0.94117,                0.88059,                0.88019,                0.90576,                 0.7226,                0.67077,                0.39722,                0.88558,               0.003169,               0.003169,               0.003169
                     71,                0.89561,                0.49721,                0.94342,                0.88686,                0.86968,                0.90582,                0.72746,                0.66828,                0.39918,                0.88524,                0.00307,                0.00307,                0.00307
                     72,                0.88676,                0.49573,                0.94051,                0.89696,                0.86257,                0.90614,                0.72723,                0.66864,                0.39766,                0.88527,               0.002971,               0.002971,               0.002971
                     73,                0.88656,                0.48942,                0.94008,                0.89802,                  0.864,                0.90702,                0.72746,                0.66686,                0.39755,                0.88466,               0.002872,               0.002872,               0.002872
                     74,                0.89004,                 0.4901,                0.94012,                0.88655,                0.87062,                0.90798,                0.72788,                0.66545,                0.39634,                0.88401,               0.002773,               0.002773,               0.002773
                     75,                0.89062,                0.49095,                0.94003,                0.90661,                0.85677,                0.90609,                0.72863,                0.66645,                0.39609,                0.88378,               0.002674,               0.002674,               0.002674
                     76,                0.87527,                0.48692,                0.93854,                0.88231,                0.87598,                0.90575,                0.72714,                0.66674,                0.39546,                0.88394,               0.002575,               0.002575,               0.002575
                     77,                0.88528,                0.48764,                0.93795,                0.88743,                0.87833,                0.90644,                0.72899,                0.66509,                0.39453,                0.88381,               0.002476,               0.002476,               0.002476
                     78,                0.87886,                0.48739,                0.93786,                0.90268,                0.86634,                0.90993,                0.72846,                 0.6664,                0.39419,                0.88447,               0.002377,               0.002377,               0.002377
                     79,                0.87788,                0.48324,                0.93601,                0.89446,                0.86964,                  0.909,                 0.7283,                0.66456,                0.39364,                0.88257,               0.002278,               0.002278,               0.002278
                     80,                 0.8742,                0.48334,                0.93662,                0.88761,                0.87678,                0.90929,                0.73297,                0.66266,                0.39309,                0.88205,               0.002179,               0.002179,               0.002179
                     81,                0.87079,                0.48392,                0.93553,                0.88648,                0.87856,                0.90947,                0.72874,                0.66472,                 0.3928,                0.88214,                0.00208,                0.00208,                0.00208
                     82,                0.87305,                 0.4791,                0.93539,                0.88664,                0.87977,                0.91191,                0.73122,                0.66285,                0.39261,                0.88226,               0.001981,               0.001981,               0.001981
                     83,                0.87242,                0.48029,                0.93317,                0.89075,                0.87363,                0.91652,                0.73357,                0.66214,                0.39222,                 0.8821,               0.001882,               0.001882,               0.001882
                     84,                0.86641,                0.47881,                0.93215,                0.88611,                0.87205,                0.91256,                0.73391,                 0.6635,                0.39234,                0.88195,               0.001783,               0.001783,               0.001783
                     85,                0.86508,                0.48087,                0.93323,                0.91764,                0.84685,                0.91373,                0.73714,                0.66364,                 0.3916,                0.88138,               0.001684,               0.001684,               0.001684
                     86,                0.86766,                0.47612,                0.93222,                0.89489,                0.87339,                 0.9125,                0.73448,                 0.6631,                0.39121,                 0.8812,               0.001585,               0.001585,               0.001585
                     87,                0.86402,                0.47797,                0.93433,                0.88522,                0.87462,                0.91321,                0.73399,                 0.6631,                0.39013,                0.88157,               0.001486,               0.001486,               0.001486
                     88,                0.85971,                0.47238,                0.93137,                0.89048,                0.87238,                0.91245,                0.73382,                0.66286,                 0.3902,                0.88185,               0.001387,               0.001387,               0.001387
                     89,                0.85478,                0.47331,                0.93126,                0.90385,                0.85927,                0.91109,                0.73182,                 0.6623,                 0.3895,                0.88152,               0.001288,               0.001288,               0.001288
                     90,                0.86401,                0.47525,                0.93286,                0.91882,                0.84829,                0.91522,                  0.733,                0.66149,                0.38948,                0.88128,               0.001189,               0.001189,               0.001189
                     91,                0.89295,                0.45026,                0.94334,                0.90763,                0.85496,                0.91193,                0.73247,                0.66262,                0.39005,                0.88239,                0.00109,                0.00109,                0.00109
                     92,                0.88218,                0.44343,                0.93833,                0.90034,                0.85906,                 0.9101,                0.73116,                0.66422,                 0.3907,                0.88354,               0.000991,               0.000991,               0.000991
                     93,                0.87797,                 0.4398,                0.93631,                0.90193,                0.85573,                0.90696,                0.73017,                0.66518,                0.39112,                0.88368,               0.000892,               0.000892,               0.000892
                     94,                0.87583,                0.43975,                0.93611,                0.88116,                0.88448,                0.90354,                0.72704,                0.66504,                 0.3908,                0.88362,               0.000793,               0.000793,               0.000793
                     95,                0.86975,                0.43584,                0.93387,                0.88094,                 0.8824,                0.90327,                0.72737,                0.66432,                0.39067,                0.88314,               0.000694,               0.000694,               0.000694
                     96,                0.86667,                0.43758,                0.93219,                 0.8745,                0.88193,                0.89998,                0.72366,                0.66378,                0.39081,                0.88286,               0.000595,               0.000595,               0.000595
                     97,                0.86402,                 0.4351,                0.93286,                0.87402,                 0.8879,                  0.899,                0.72393,                0.66328,                0.39045,                0.88256,               0.000496,               0.000496,               0.000496
                     98,                0.85721,                0.43243,                0.92866,                0.87196,                0.88868,                0.89927,                0.72433,                0.66293,                0.39007,                0.88236,               0.000397,               0.000397,               0.000397
                     99,                0.85902,                0.43175,                  0.931,                0.87221,                0.88597,                 0.8993,                0.72378,                0.66262,                   0.39,                0.88236,               0.000298,               0.000298,               0.000298
                    100,                0.85775,                0.43037,                0.92964,                0.90656,                0.84966,                0.90026,                0.72486,                0.66254,                0.39007,                0.88236,               0.000199,               0.000199,               0.000199
